Chemical,Endpoint Value,Endpoint Description,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type,Endpoint Value_numeric,Tox Exposure Duration_minutes
"DDT (4,4'-)",0.001-0.26 ng/mL,Plasma concentration,Both,Juvenile,Punta Abreojos,39.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.001,NR
"DDD (4,4'-)",0.005-11.82 ng/mL,Plasma concentration,Both,Juvenile,Bahía Magdalena,13.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.005,NR
HEXACHLOROBENZENE,0.001-7.61 ng/mL,Plasma concentration,Both,Juvenile,Bahía Magdalena,12.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.001,NR
DICOFOL,8.9 ± 20.26 ng/g ww,Liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,8.9,NR
MIREX,20.2 ± 87.08 ng/g ww,Liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,20.2,NR
HEXACHLOROCYCLOHEXANE,7.0 ± 6.28 ng/g ww,ƩHCH liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,7.0,NR
DDT (Technical Grade Mixture),4.8 ± 8.36 ng/g ww,Liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,4.8,NR
ENDOSULFAN,8.2 ± 22.25 ng/g ww,Ʃendosulphan liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,8.2,NR
ORGANOCHLORINES,54.5 ± 99.34 ng/g ww,Liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,54.5,NR
ANTIMONY (elemental),See citation Table 1,Reference intervals for blood concentration,Both,Both Adults and Juveniles,Howick Group of Islands,49.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,1.0,NR
"DDE (2,4'-)",4.8 ppm ww,Egg concentration,NR,Embryo,Blackfoot Reservoir,9.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,4.8,NR
DIELDRIN,0.11 ppm ww,Egg concentration,NR,Embryo,Blackfoot Reservoir,2.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.11,NR
HEPTACHLOR EPOXIDE,0.04 ppm ww,Egg concentration,NR,Embryo,Blackfoot Reservoir,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.04,NR
OXYCHLORDANE,0.04 ppm ww,Egg concentration,NR,Embryo,Blackfoot Reservoir,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.04,NR
CIS-CHLORDANE,0.01 ppm ww,Egg concentration,NR,Embryo,Blackfoot Reservoir,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.01,NR
CIS-NONACHLOR,0.01 ppm ww,Egg concentration,NR,Embryo,Blackfoot Reservoir,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.01,NR
MERCURY COMPOUNDS,LCRS: 0.65 µg/g ww,Egg concentration,NR,Embryo,Carson Lake & Lahontan Reservoir,20.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.65,NR
MERCURY COMPOUNDS,"Lahontan Reservoir: 3.55, Humboldt River: 3.59 g",Kidney weight,NR,Nestling,Lahontan Reservoir: contaminated site; Humbodlt River: reference site,7.0,NR,TOX-Non-Repro-Sublethal - organ/system effects,NR,Environmental contamination,Toxicity Factor Datasets,3.55,NR
SELENIUM (elemental),"Vane 1: 1.6, vane 2: 1.5, rachis 1: 0.65, rachis 2: 0.54 µg/g",Feather concentration; flight left 1⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
SELENIUM (elemental),"Vane 1: 1.3, vane 2: 1.5, rachis 1: 0.62, rachis 2: 0.65 µg/g",Feather concentration; flight right 1⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
SELENIUM (elemental),"Vane 1: 1.3, vane 2: 1.30 rachis 1: 0.65, rachis 2: 0.64 µg/g",Feather concentration; flight left 2⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
SELENIUM (elemental),"Vane 1: 1.4, vane 2: 1.5, rachis 1: 0.59, rachis 2: 0.57 µg/g",Feather concentration; flight right 2⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
SELENIUM (elemental),"Vane 1: 1.7, vane 2: 1.1, rachis 1: 0.68, rachis 2: 0.65 µg/g",Tail concentration,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
ANTIMONY (elemental),"Vane 1: 0.32, vane 2: 0.26, rachis 1: 0.02, rachis 2: 0.01 µg/g",Feather concentration; flight left 1⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
ANTIMONY (elemental),"Vane 1: 0.27, vane 2: 0.26, rachis 1: 0.03, rachis 2: 0.26 µg/g",Feather concentration; flight right 1⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
ANTIMONY (elemental),"Vane 1: 0.26, vane 2: 0.24, rachis 1: 0.03, rachis 2: 0.02 µg/g",Feather concentration; flight left 2⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
ANTIMONY (elemental),"Vane 1: 0.24, vane 2: 0.45, rachis 1: 0.01, rachis 2: 0.01 µg/g",Feather concentration; flight right 2⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
ANTIMONY (elemental),"Vane 1: 0.26, vane 2: 0.15, rachis 1: 0.02, rachis 0.03 µg/g",Tail concentration,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
MERCURY (elemental),"Vane 1: 4.6, vane 2: 3.5, rachis 1: 2.1, rachis: 2.2 µg/g",Feather concentration; flight left 1⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
MERCURY (elemental),"Vane 1: 1.8, vane 2: 2.2, rachis 1: 1.7, rachis: 1.5 µg/g",Feather concentration; flight right 1⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
MERCURY (elemental),"Vane 1: 2.4, vane 2: 2.9, rachis 1: 1.4, rachis: 2.6 µg/g",Feather concentration; flight left 2⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
MERCURY (elemental),"Vane 1: 2.0, vane 2: 1.3, rachis 1: 2.4, rachis: 2.1 µg/g",Feather concentration; flight right 2⁰,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
MERCURY (elemental),"Vane 1: 1.7, vane 2: 1.4, rachis 1: 7.4, rachis: 3.0 µg/g",Tail concentration,NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
BORON COMPOUNDS,Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
MAGNESIUM COMPOUNDS,Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
ALUMINUM COMPOUNDS,Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
VANADIUM (elemental),Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
IRON (elemental),Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
COBALT COMPOUNDS,Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
NICKEL (elemental),Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
COPPER (elemental),Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
ZINC (elemental),Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
STRONTIUM,Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
MOLYBDENUM,Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
SILVER COMPOUNDS,Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
CADMIUM (elemental),Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
TIN COMPOUNDS,Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
BARIUM (elemental),Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
LEAD (elemental),Vane & rachis: see citation Table 6,"Feather concentration (flight, tail)",NR,Adult,"Frontenac, Eastern Ontario",1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
POLYCHLORINATED DIBENZO-P-DIOXINS,9.2-31 pg/mL ww; 390-1000 pg/mL fat w,Blood concentration,NR,Both Adults and Juveniles,Savannah River Site,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,9.2,NR
POLYCHLORINATED DIBENZOFURANS,2.6-8.3 pg/mL ww; 160-350 pg/mL fat w,Blood concentration,NR,Both Adults and Juveniles,Savannah River Site,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,2.6,NR
PCB,Non-ortho: 11-20 pg/mL ww; 500-650 pg/mL fat w,Blood concentration,NR,Both Adults and Juveniles,Savannah River Site,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,11.0,NR
PCB,"Mono-ortho: 740-3600 pg/mL ww; 41,000-150,000 pg/mL fat w",Blood concentration,NR,Both Adults and Juveniles,Savannah River Site,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,740.0,NR
PCB,"Di-ortho: 660-7500 pg/mL ww; 41,000270,000 pg/mL fat w",Blood concentration,NR,Both Adults and Juveniles,Savannah River Site,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,660.0,NR
LEAD (elemental),3.84 ppm ww,Liver concentration,NR,Not Reported,"Carcass submitted to National Fish and Wildlife Forensics Laboratory, Ashland, OR",1.0,NR,TOX-EXP IND - accumulation,NR,Embedded projectile,Toxicity Factor Datasets,3.84,NR
LEAD (elemental),7.63 µg/g dw,Bone concentration,NR,Adult,Southern Ontario,6.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,7.63,NR
LEAD (elemental),2.31 µg/g dw,Liver concentration,NR,Adult,Southern Ontario,8.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,2.31,NR
LEAD (elemental),6.79 µg/g dw,Kidney concentration,NR,Adult,Southern Ontario,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.79,NR
LINDANE,0.26  µg/g ww,Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.26,NR
HEPTACHLOR,0.13  µg/g ww,Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.13,NR
HEPTACHLOR EPOXIDE,2.99  µg/g ww,Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,2.99,NR
ALDRIN,0.71  µg/g ww,Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.71,NR
DIELDRIN,0.54  µg/g ww,Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.54,NR
ENDRIN,0.17  µg/g ww,Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.17,NR
ENDOSULFAN,"I: 0.11, II: 0.19  µg/g ww",Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.11,NR
"DDT (4,4'-)",0.84  µg/g ww,Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.84,NR
"DDE (4,4'-)",0.39  µg/g ww,Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.39,NR
"DDD (4,4'-)",0.19  µg/g ww,Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.19,NR
ORGANOCHLORINES,7.38  µg/g ww,Feather concentration,NR,Both Adults and Juveniles,Rio Negro Province; rural site: Bariloche; ag site: Valle,45.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,7.38,NR
LEAD (elemental),0.11-0.60 µg/g,Liver concentration,Both,Adult,NR,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.11,NR
CADMIUM (elemental),0.86 µg/g dw,Liver concentration,NR,Not Reported,"Chanaral, Atacama region",14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.86,NR
CADMIUM (elemental),1.05 µg/g dw,Kidney concentration,NR,Not Reported,"Chanaral, Atacama region",14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.05,NR
LEAD (elemental),5.24 µg/g dw,Liver concentration,NR,Not Reported,"Chanaral, Atacama region",14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,5.24,NR
LEAD (elemental),10.31 µg/g dw,Kidney concentration,NR,Not Reported,"Chanaral, Atacama region",14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,10.31,NR
LEAD (elemental),6.0 µg/dL,Blood concentration,NR,Not Reported,NR,136.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
LEAD (elemental),4 µg/dL,Blood concentration,NR,Not Reported,NR,52.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,4.0,NR
LEAD (elemental),15 µg/dL,Blood concentration,NR,Not Reported,NR,34.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,15.0,NR
LEAD (elemental),7 µg/dL,Blood concentration,NR,Not Reported,NR,39.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,7.0,NR
LEAD (elemental),14 µg/dL,Blood concentration,NR,Not Reported,NR,38.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,14.0,NR
LEAD (elemental),6 µg/dL,Blood concentration,NR,Not Reported,NR,33.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,6.0,NR
MERCURY (elemental),11.3 µg/dL,Blood concentration,NR,Not Reported,NR,137.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,11.3,NR
COPPER (elemental),19.0 µg/dL,Blood concentration,NR,Not Reported,NR,126.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,19.0,NR
ZINC (elemental),168.0 µg/dL,Blood concentration,NR,Not Reported,NR,126.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,168.0,NR
"CYANIDE, SODIUM","Dose analyzed immediately: 17, Dose stored 45 days: 21 m",Time to death,NR,Adult,Patuxent Wildlife Research Center,2.0,36 mg/kg,TOX-MORT - toxicity benchmarks,NR,Oral,Toxicity Factor Datasets,17.0,NR
"CYANIDE, SODIUM","Dose analyzed immediately: 2.3, Dose stored 45 days: 11 ppm",Blood concentration,NR,NR,Patuxent Wildlife Research Center,2.0,36 mg/kg,TOX-MORT - toxicity benchmarks,NR,Oral,Toxicity Factor Datasets,2.3,NR
"CYANIDE, SODIUM","Dose analyzed immediately: 0.02, Dose stored 45 days: 1.2 ppm",Liver concentration,NR,NR,Patuxent Wildlife Research Center,2.0,36 mg/kg,TOX-MORT - toxicity benchmarks,NR,Oral,Toxicity Factor Datasets,0.02,NR
MERCURY (elemental),0.080-0.686 ug/g ww,Tissue concentration,NR,Not Reported,Collected from 6 sites; see citation,18.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.08,NR
MERCURY (elemental),0.080 (0.06-0.12) ug/g ww,Tissue concentration,Both,Adult,Reference,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.08,NR
MERCURY (elemental),0.082 (0.07-0.10),Tissue concentration,F,Adult,Reference,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.082,NR
MERCURY (elemental),0.070 (0.06-0.09),Tissue concentration,F,Adult,Reference,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.07,NR
MERCURY (elemental),0.159 (0.11-0.23),Tissue concentration,F,Adult,Mine,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.159,NR
MERCURY (elemental),0.328 (0.31-0.35),Tissue concentration,M,Adult,Mine,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.328,NR
MERCURY (elemental),0.377 (0.37-0.39),Tissue concentration,Both,Adult,Mine,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.377,NR
MERCURY (elemental),0.443 (0.35-0.58),Tissue concentration,Both,Adult,Mine,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.443,NR
MERCURY (elemental),0.686 (0.32-1.10),Tissue concentration,F,Adult,Mine,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.686,NR
MERCURY (elemental),0.79,Tissue concentration,F,Adult,Mine,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.79,NR
MERCURY (elemental),0.783 (0.56-1.20),Tissue concentration,Both,Adult,Canyon,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.783,NR
MERCURY (elemental),0.405 (0.12-0.74),Tissue concentration,F,Adult,Canyon,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.405,NR
MERCURY (elemental),0.118 (0.08-0.16),Tissue concentration,F,Adult,Canyon,2.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.118,NR
MERCURY (elemental),1.7,Tissue concentration,M,Adult,Mine,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.7,NR
MERCURY (elemental),0.065 (0.04-0.11),Tissue concentration,F,Adult,Mine,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.065,NR
MERCURY (elemental),1.1,Tissue concentration,M,Adult,Mine,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.1,NR
MERCURY (elemental),0.846 (0.47-1.5),Tissue concentration,Both,Adult,Mine,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.846,NR
MERCURY (elemental),0.402 (0.27-0.77),Tissue concentration,M,Adult,Mine,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.402,NR
MERCURY (elemental),0.166 (0.07-0.35),Tissue concentration,Both,Adult,Mine,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.166,NR
MERCURY (elemental),0.318 (0.08-0.91),Tissue concentration,Both,Both Adults and Juveniles,Mine,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.318,NR
MERCURY (elemental),0.31,Tissue concentration,F,Adult,Canyon,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.31,NR
MERCURY (elemental),0.11,Tissue concentration,M,Adult,Canyon,2.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.11,NR
MERCURY (elemental),0.123 (0.06-0.23),Tissue concentration,M,Adult,Canyon,2.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.123,NR
MERCURY (elemental),0.320 (0.21-0.49),Tissue concentration,M,Adult,Canyon,2.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.32,NR
CARBARYL,585 ug/L ± 229,LC50,Both,Tadpole,NR,100.0,"Controls, 50, 500, 5000 ug/L",TOX-MORT - toxicity benchmarks,72 h,Waterborne,Toxicity Factor Datasets,585.0,4320.0
MERCURY (elemental),"A16: 0.52, NCM: 0.40 ug/g dw",Geometric mean,NR,Not Reported,Wetlands in SF Bay Area,392.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,16.0,NR
MERCURY (elemental),See Figure 1,Temporal variation by pond,NR,Not Reported,Wetlands in SF Bay Area,392.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
LEAD (elemental),"A: 31.24, B: 20.30, C: 18.78, D: 14.08, E: 20.85",Spleen concentration,NR,Not Reported,Not reported,6.0,265 ug/kg,TOX-EXP IND - accumulation,8 d,Waterborne,Toxicity Factor Datasets,31.24,11520.0
LEAD (elemental),"A: 21.78, B: 19.32, C: 28.81, D: 17.60, E: 16.85",Gill concentration,NR,Not Reported,Not reported,6.0,266 ug/kg,TOX-EXP IND - accumulation,8 d,Waterborne,Toxicity Factor Datasets,21.78,11520.0
LEAD (elemental),"A: 24.55, B: 18.27, C: 24.39, D: 18.48, E: 18.53",Fin concentration,NR,Not Reported,Not reported,6.0,267 ug/kg,TOX-EXP IND - accumulation,8 d,Waterborne,Toxicity Factor Datasets,24.55,11520.0
LEAD (elemental),"A: 13.77, B: 13.24, C: 13.16, D: 13.91, E: 10.46",Intestine concentration,NR,Not Reported,Not reported,6.0,268 ug/kg,TOX-EXP IND - accumulation,8 d,Waterborne,Toxicity Factor Datasets,13.77,11520.0
LEAD (elemental),"A: 7.14, B: 7.53, C: 8.37, D: 7.95, E: 6.98",Skin concentration,NR,Not Reported,Not reported,6.0,269 ug/kg,TOX-EXP IND - accumulation,8 d,Waterborne,Toxicity Factor Datasets,7.14,11520.0
LEAD (elemental),"A: 13.73, B: 11.69, C: 17.98, D: 12.72, E: 13.66",Vertebrae concentration,NR,Not Reported,Not reported,6.0,270 ug/kg,TOX-EXP IND - accumulation,8 d,Waterborne,Toxicity Factor Datasets,13.73,11520.0
LEAD (elemental),"A: 1.41, B: 1.72, C: 3.42, D: 1.19, E: 1.05",Liver concentration,NR,Not Reported,Not reported,6.0,271 ug/kg,TOX-EXP IND - accumulation,8 d,Waterborne,Toxicity Factor Datasets,1.41,11520.0
LEAD (elemental),"A:  0.65, B: 0.55, C: 0.71, D: 0.75, E: 0.73",Muscle concentration,NR,Not Reported,Not reported,6.0,272 ug/kg,TOX-EXP IND - accumulation,8 d,Waterborne,Toxicity Factor Datasets,0.65,11520.0
